family,recordId,field,hasValue,stageReady
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,agency,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,provenanceUrl,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,sourceRole,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,sourceUrl,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,finalUrl,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,artifactPath,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,sha256,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,fetchedAt,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,supportingText,1,1
dd_routing,california|dd_routing|alta-california-regional-center|regional_center_root_from_dds_directory|ad280c83bd6e87293efe4f652db337c52b647071a932fbaf48c871e40fcd3175,supportingPageLocation,1,1
dd_routing,california|dd_routing|central-valley-regional-center|regional_center_root_from_dds_directory|92a09a211be9b050e8fd8a0774780c103e46f53354e4ca0f65dcf2dd1cf56217,authority,1,1
