Found 2244 usages of dead/stale URLs:
Table: school_districts          | Column: source_url   | ID: sd-robert-lee-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-coleman-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-mckinney-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-wellington-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-columbus-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-new-braunfels-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-comanche-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-paint-rock-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-gainesville-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-gatesville-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-paducah-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-crane-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-ozona-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-crosbyton-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-van-horn-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-dalhart-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-lamesa-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-hereford-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
Table: school_districts          | Column: source_url   | ID: sd-cooper-independent-school-district | Value: https://tea.texas.gov/reports-and-data/school-performance/accountability-research/school-district-locator
